nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_06_21,02_06_21,03_06_21,04_06_21,05_06_21,06_06_21,07_06_21,08_06_21,09_06_21,10_06_21,11_06_21,12_06_21,13_06_21,14_06_21,15_06_21,16_06_21,total
Lençóis,83242,Lençóis,Lençóis - 83242,-12.557,-41.389,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,1.0,0.2,0.0,21.9,0.2,12.2,2.4,0.0,3.0,0.7,0.0,0.0,0.5,0.0,0.0,42.1
Morro do Chapéu,83184,Morro do Chapéu,Morro do Chapéu - 83184,-11.217,-41.217,Chapada Diamantina,RPGA do Rio Salitre,0.0,0.0,0.0,0.2,4.8,0.4,5.2,1.8,0.5,3.8,1.0,0.0,0.0,0.8,0.0,0.0,18.51
Piatã,A430,Piatã,Piatã - A430,-13.156,-41.774,Chapada Diamantina,RPGA do Rio de Contas,0.0,0.0,0.0,0.0,7.2,0.0,2.4,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,10.0
Iaçu,51280000,Iaçu,Iaçu - 51280000,-12.762,-40.214,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,6.6,0.0,0.0,3.0,2.0,0.8,4.4,0.0,1.2,0.8,0.0,0.0,0.0,0.0,0.0,18.8
Lençóis,A425,Lençóis,Lençóis - A425,-12.558,-41.389,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.8,1.8,0.0,0.0,0.0,0.0,0.0,3.0
Lagoa Bonita),PG-PR-15,Iacú,Iacú (Lagoa Bonita) - PG-PR-15,-12.932,-40.226,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,3.4,0.0,2.6,7.4,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,15.0
João Amaro),PG-PR-16,Iaçu,Iaçu (João Amaro) - PG-PR-16,-12.8,-40.363,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,3.2,0.2,0.2,8.4,0.2,1.4,0.4,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,14.8
Guiné),PG-PR-24,Mucugê,Mucugê (Guiné) - PG-PR-24,-12.772,-41.541,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,12.4,0.2,2.8,0.2,0.2,2.8,0.0,0.0,0.0,0.0,0.0,0.0,18.6
Machado Portela),PG-PR-26,Marcionílio Souza,Marcionílio Souza (Machado Portela) - PG-PR-26,-13.154,-40.768,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,2.8,0.2,1.4,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,5.4
Rio do Pires,PM-CL-04,Rio do Pires,Rio do Pires - PM-CL-04,-13.117,-42.284,Chapada Diamantina,RPGA dos Rios Paramirim e Santo Onofre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
